0.06 , 3.227 , 0.017 , -2.818 , 0
0.16 , 3.283 , -0.004 , -2.975 , 0
0.27 , 3.338 , -0.004 , -2.975 , 0
0.36 , 3.394 , 0.0 , -3.132 , 0
0.46 , 3.449 , 0.021 , -2.844 , 0
0.56 , 3.505 , 0.011 , -3.159 , 0
0.67 , 3.56 , 0.011 , -3.159 , 0
0.76 , 3.616 , 0.0 , -3.001 , 0
0.86 , 3.672 , 0.006 , -2.857 , 0
0.96 , 3.727 , 0.006 , -2.857 , 0
1.07 , 3.783 , 0.015 , -2.962 , 0
1.16 , 3.838 , -0.002 , -2.91 , 0
1.26 , 3.894 , -0.002 , -2.91 , 0
1.36 , 3.95 , 0.015 , -2.949 , 0
1.47 , 4.005 , 0.011 , -2.962 , 0
1.56 , 4.06 , 0.019 , -3.106 , 0
1.66 , 4.116 , 0.019 , -3.106 , 0
1.75 , 4.171 , -0.004 , -2.936 , 0
1.87 , 4.227 , 0.006 , -3.145 , 0
1.96 , 4.283 , 0.006 , -3.145 , 0
2.06 , 4.338 , 0.0 , -3.001 , 0
2.15 , 4.394 , 0.019 , -3.159 , 0
2.27 , 4.449 , 0.013 , -3.093 , 0
2.36 , 4.505 , 0.013 , -3.093 , 0
2.46 , 4.56 , 0.004 , -3.145 , 0
2.55 , 4.616 , 0.0 , -3.145 , 0
2.67 , 4.671 , 0.0 , -3.145 , 0
2.76 , 4.727 , 0.002 , -3.172 , 0
2.86 , 4.783 , 0.011 , -3.145 , 0
2.95 , 4.838 , 0.011 , -3.145 , 0
3.07 , 4.894 , 0.015 , -3.237 , 0
3.16 , 4.95 , 0.009 , -3.093 , 0
3.26 , 5.005 , 0.021 , -3.132 , 0
3.37 , 5.06 , 0.021 , -3.132 , 0
3.47 , 5.116 , 0.017 , -3.25 , 0
3.56 , 5.171 , 0.004 , -3.263 , 0
3.66 , 5.227 , 0.004 , -3.263 , 0
3.77 , 5.283 , 0.011 , -3.263 , 0
3.86 , 5.338 , 0.013 , -3.159 , 0
3.96 , 5.394 , 0.021 , -3.211 , 0
4.06 , 5.449 , 0.021 , -3.211 , 0
4.17 , 5.505 , 0.004 , -3.381 , 0
4.26 , 5.56 , 0.009 , -3.224 , 0
4.36 , 5.616 , 0.009 , -3.224 , 0
4.46 , 5.671 , 0.006 , -3.355 , 0
4.57 , 5.727 , 0.017 , -3.263 , 0
4.66 , 5.783 , 0.017 , -3.263 , 0
4.76 , 5.838 , 0.009 , -3.368 , 0
4.86 , 5.894 , 0.004 , -3.447 , 0
4.97 , 5.949 , 0.0 , -3.355 , 0
5.06 , 6.005 , 0.0 , -3.355 , 0
5.16 , 6.06 , 0.009 , -3.381 , 0
5.26 , 6.116 , 0.002 , -3.473 , 0
5.37 , 6.172 , 0.002 , -3.473 , 0
5.46 , 6.227 , 0.019 , -3.394 , 0
5.56 , 6.283 , 0.013 , -3.434 , 0
5.66 , 6.338 , 0.015 , -3.29 , 0
5.77 , 6.394 , 0.015 , -3.29 , 0
5.86 , 6.449 , 0.013 , -3.526 , 0
5.96 , 6.505 , 0.004 , -3.447 , 0
6.05 , 6.56 , 0.004 , -3.447 , 0
6.17 , 6.616 , 0.015 , -3.447 , 0
6.26 , 6.672 , 0.004 , -3.434 , 0
6.36 , 6.727 , 0.004 , -3.434 , 0
6.45 , 6.782 , -0.002 , -3.499 , 0
6.57 , 6.838 , 0.015 , -3.421 , 0
6.66 , 6.894 , 0.009 , -3.408 , 0
6.76 , 6.949 , 0.009 , -3.408 , 0
6.85 , 7.005 , 0.017 , -3.29 , 0
6.97 , 7.06 , 0.015 , -3.381 , 0
7.06 , 7.116 , 0.015 , -3.381 , 0
7.16 , 7.171 , 0.011 , -3.316 , 0
7.25 , 7.227 , 0.015 , -3.263 , 0
7.37 , 7.282 , 0.002 , -3.355 , 0
7.46 , 7.338 , 0.002 , -3.355 , 0
7.56 , 7.394 , 0.019 , -3.355 , 0
7.67 , 7.449 , 0.006 , -3.368 , 0
7.76 , 7.505 , 0.006 , -3.368 , 0
7.86 , 7.56 , 0.004 , -3.46 , 0
7.96 , 7.616 , 0.004 , -3.329 , 0
8.07 , 7.671 , 0.004 , -3.316 , 0
8.16 , 7.727 , 0.004 , -3.316 , 0
8.26 , 7.783 , 0.011 , -3.368 , 0
8.36 , 7.838 , 0.004 , -3.29 , 0
8.47 , 7.894 , 0.004 , -3.29 , 0
8.56 , 7.949 , 0.009 , -3.093 , 0
8.66 , 8.005 , 0.006 , -3.224 , 0
8.76 , 8.06 , 0.006 , -3.224 , 0
8.87 , 8.116 , 0.017 , -3.277 , 0
8.96 , 8.172 , 0.006 , -3.329 , 0
9.06 , 8.227 , 0.011 , -3.185 , 0
9.16 , 8.283 , 0.011 , -3.185 , 0
9.27 , 8.338 , 0.006 , -3.263 , 0
9.36 , 8.394 , 0.015 , -3.277 , 0
9.46 , 8.45 , 0.015 , -3.277 , 0
9.56 , 8.505 , 0.009 , -2.87 , 0
9.67 , 8.561 , 0.006 , -3.159 , 0
9.76 , 8.616 , 0.009 , -2.962 , 0
9.86 , 8.671 , 0.009 , -2.962 , 0
9.95 , 8.727 , 0.006 , -2.988 , 0
10.07 , 8.782 , 0.004 , -2.923 , 0
10.16 , 8.838 , 0.004 , -2.923 , 0
10.26 , 8.894 , 0.015 , -3.093 , 0
10.35 , 8.949 , 0.013 , -2.975 , 0
10.47 , 9.005 , 0.013 , -2.975 , 0
10.56 , 9.06 , 0.015 , -3.001 , 0
10.66 , 9.116 , 0.009 , -3.001 , 0
10.75 , 9.171 , 0.019 , -2.883 , 0
10.87 , 9.227 , 0.019 , -2.883 , 0
10.96 , 9.283 , 0.009 , -2.857 , 0
11.06 , 9.338 , -0.002 , -2.674 , 0
11.15 , 9.393 , -0.002 , -2.674 , 0
11.27 , 9.449 , 0.009 , -2.818 , 0
11.36 , 9.505 , 0.009 , -2.687 , 0
11.46 , 9.56 , 0.013 , -2.765 , 0
11.55 , 9.616 , 0.013 , -2.765 , 0
11.67 , 9.671 , 0.009 , -2.438 , 0
11.76 , 9.727 , 0.011 , -2.621 , 0
11.86 , 9.782 , 0.011 , -2.621 , 0
11.97 , 9.838 , 0.013 , -2.556 , 0
12.06 , 9.894 , 0.004 , -2.425 , 0
12.16 , 9.949 , -0.0 , -2.516 , 0
12.26 , 10.0 , -0.0 , -2.516 , 0
12.37 , 10.0 , 0.011 , -2.372 , 0
12.46 , 10.0 , 0.006 , -2.674 , 0
12.56 , 10.0 , 0.006 , -2.674 , 0
12.66 , 10.0 , 0.004 , -2.346 , 0
12.77 , 10.0 , 0.011 , -2.569 , 0
12.86 , 10.0 , 0.011 , -2.569 , 0
12.96 , 10.0 , -0.002 , -2.582 , 0
13.06 , 10.0 , 0.013 , -2.647 , 0
13.17 , 10.0 , 0.015 , -2.516 , 0
13.26 , 10.0 , 0.015 , -2.516 , 0
13.36 , 10.0 , 0.019 , -2.674 , 0
13.46 , 10.0 , 0.017 , -2.608 , 0
13.57 , 10.0 , 0.017 , -2.608 , 0
13.66 , 10.0 , -0.006 , -2.529 , 0
13.76 , 10.0 , 0.013 , -2.503 , 0
13.86 , 10.0 , 0.009 , -2.634 , 0
13.97 , 10.0 , 0.009 , -2.634 , 0
14.06 , 10.0 , 0.013 , -2.569 , 0
14.16 , 10.0 , 0.009 , -2.582 , 0
14.25 , 10.0 , 0.009 , -2.582 , 0
14.37 , 10.0 , 0.004 , -2.621 , 0
14.46 , 10.0 , 0.015 , -2.608 , 0
14.56 , 10.0 , 0.015 , -2.608 , 0
14.65 , 10.0 , 0.011 , -2.752 , 0
14.77 , 10.0 , 0.004 , -2.713 , 0
14.86 , 10.0 , 0.002 , -2.425 , 0
14.96 , 10.0 , 0.002 , -2.425 , 0
15.05 , 10.0 , 0.006 , -2.661 , 0
15.17 , 10.0 , 0.006 , -2.582 , 0
15.26 , 10.0 , 0.006 , -2.582 , 0
15.36 , 10.0 , 0.004 , -2.7 , 0
15.45 , 10.0 , 0.002 , -2.726 , 0
15.57 , 10.0 , 0.015 , -2.556 , 0
15.66 , 10.0 , 0.015 , -2.556 , 0
15.76 , 10.0 , 0.009 , -2.844 , 0
15.87 , 10.0 , 0.021 , -2.621 , 0
15.97 , 10.0 , 0.021 , -2.621 , 0
16.06 , 10.0 , 0.006 , -2.923 , 0
16.16 , 10.0 , 0.017 , -2.7 , 0
16.27 , 10.0 , 0.017 , -2.7 , 0
16.36 , 10.0 , 0.013 , -2.634 , 0
16.46 , 10.0 , 0.006 , -2.857 , 0
16.56 , 10.0 , 0.013 , -2.661 , 0
16.67 , 10.0 , 0.013 , -2.661 , 0
16.76 , 10.0 , 0.009 , -2.883 , 0
16.86 , 10.0 , 0.015 , -2.739 , 0
16.96 , 10.0 , 0.015 , -2.739 , 0
17.07 , 10.0 , 0.013 , -2.595 , 0
17.16 , 10.0 , 0.019 , -2.792 , 0
17.26 , 10.0 , 0.009 , -2.792 , 0
17.36 , 10.0 , 0.009 , -2.792 , 0
17.47 , 10.0 , 0.011 , -2.87 , 0
17.56 , 10.0 , 0.009 , -2.805 , 0
17.66 , 10.0 , 0.009 , -2.805 , 0
17.76 , 10.0 , 0.017 , -2.7 , 0
17.87 , 10.0 , 0.009 , -2.883 , 0
17.96 , 10.0 , 0.015 , -2.713 , 0
18.06 , 10.0 , 0.015 , -2.713 , 0
18.16 , 10.0 , 0.026 , -2.674 , 0
18.27 , 10.0 , 0.015 , -2.713 , 0
18.36 , 10.0 , 0.015 , -2.713 , 0
18.46 , 10.0 , 0.009 , -2.831 , 0
18.55 , 10.0 , 0.004 , -2.765 , 0
18.67 , 10.0 , 0.004 , -2.765 , 0
18.76 , 10.0 , 0.019 , -2.792 , 0
18.86 , 10.0 , 0.021 , -2.923 , 0
18.95 , 10.0 , 0.006 , -2.621 , 0
19.07 , 10.0 , 0.006 , -2.621 , 0
19.16 , 10.0 , 0.015 , -2.687 , 0
19.26 , 10.0 , 0.006 , -2.818 , 0
19.35 , 10.0 , 0.006 , -2.818 , 0
19.47 , 10.0 , 0.013 , -2.883 , 0
19.56 , 10.0 , 0.004 , -2.778 , 0
19.66 , 10.0 , 0.028 , -2.818 , 0
19.75 , 10.0 , 0.028 , -2.818 , 0
19.87 , 10.0 , 0.004 , -2.765 , 0
19.96 , 10.0 , 0.011 , -2.857 , 0
20.06 , 10.0 , 0.011 , -2.857 , 0
20.17 , 10.0 , 0.006 , -2.674 , 0
20.27 , 10.0 , -0.009 , -2.831 , 0
20.36 , 10.0 , -0.009 , -2.831 , 0
20.46 , 10.0 , 0.004 , -2.778 , 0
20.57 , 10.0 , 0.002 , -2.765 , 0
20.66 , 10.0 , 0.002 , -2.765 , 0
20.76 , 10.0 , 0.002 , -2.765 , 0
20.86 , 10.0 , 0.009 , -2.713 , 0
20.97 , 10.0 , 0.032 , -2.726 , 0
21.06 , 10.0 , 0.032 , -2.726 , 0
21.16 , 10.0 , 0.013 , -2.857 , 0
21.26 , 10.0 , 0.011 , -2.621 , 0
21.37 , 10.0 , 0.011 , -2.923 , 0
21.46 , 10.0 , 0.011 , -2.923 , 0
21.56 , 10.0 , 0.002 , -3.027 , 0
21.66 , 10.0 , 0.004 , -2.857 , 0
21.77 , 10.0 , 0.004 , -2.857 , 0
21.86 , 10.0 , 0.013 , -2.713 , 0
21.96 , 10.0 , 0.019 , -2.818 , 0
22.06 , 10.0 , 0.019 , -2.818 , 0
22.17 , 10.0 , 0.002 , -2.726 , 0
22.26 , 10.0 , 0.013 , -2.687 , 0
22.36 , 10.0 , 0.009 , -2.726 , 0
22.46 , 10.0 , 0.009 , -2.726 , 0
22.57 , 10.0 , 0.006 , -2.778 , 0
22.66 , 10.0 , 0.006 , -2.805 , 0
22.76 , 10.0 , 0.006 , -2.805 , 0
22.85 , 10.0 , 0.013 , -2.896 , 0
22.97 , 10.0 , 0.011 , -2.792 , 0
23.06 , 10.0 , 0.0 , -2.674 , 0
23.16 , 10.0 , 0.0 , -2.674 , 0
23.25 , 10.0 , 0.006 , -2.936 , 0
23.37 , 10.0 , 0.015 , -2.765 , 0
23.46 , 10.0 , 0.015 , -2.765 , 0
23.56 , 10.0 , 0.011 , -2.726 , 0
23.65 , 10.0 , 0.002 , -2.739 , 0
23.77 , 10.0 , 0.019 , -2.661 , 0
23.86 , 10.0 , 0.019 , -2.661 , 0
23.96 , 10.0 , 0.011 , -2.713 , 0
24.05 , 10.0 , 0.013 , -2.975 , 0
24.17 , 10.0 , 0.013 , -2.975 , 0
24.26 , 10.0 , 0.004 , -2.831 , 0
24.36 , 10.0 , 0.009 , -2.883 , 0
24.47 , 10.0 , 0.009 , -2.883 , 0
24.57 , 10.0 , 0.011 , -2.896 , 0
24.66 , 10.0 , 0.004 , -2.778 , 0
24.76 , 10.0 , 0.011 , -2.949 , 0
24.87 , 10.0 , 0.011 , -2.949 , 0
25.52 , 10.0 , 0.011 , -2.752 , 0
25.62 , 10.0 , 0.013 , -2.87 , 0
25.73 , 10.0 , 0.013 , -2.87 , 0
25.83 , 10.0 , -0.006 , -2.896 , 0
25.94 , 10.0 , 0.013 , -2.896 , 0
26.05 , 10.0 , 0.009 , -2.896 , 0
26.15 , 10.0 , 0.009 , -2.896 , 0
26.26 , 10.0 , 0.015 , -2.857 , 0
26.36 , 10.0 , 0.015 , -2.923 , 0
26.47 , 10.0 , 0.009 , -2.739 , 0
26.56 , 10.0 , 0.009 , -2.739 , 0
26.66 , 10.0 , 0.009 , -2.962 , 0
26.76 , 10.0 , 0.011 , -2.765 , 0
26.87 , 10.0 , 0.011 , -2.765 , 0
26.96 , 10.0 , 0.009 , -2.91 , 0
27.06 , 10.0 , 0.006 , -2.91 , 0
27.15 , 10.0 , 0.004 , -2.739 , 0
27.27 , 10.0 , 0.004 , -2.739 , 0
27.36 , 10.0 , 0.011 , -2.805 , 0
27.46 , 10.0 , 0.009 , -2.896 , 0
27.55 , 10.0 , 0.009 , -2.896 , 0
27.67 , 10.0 , 0.006 , -2.923 , 0
27.76 , 10.0 , 0.009 , -2.923 , 0
27.86 , 10.0 , 0.004 , -2.739 , 0
27.95 , 10.0 , 0.004 , -2.739 , 0
28.07 , 10.0 , 0.011 , -2.739 , 0
28.16 , 10.0 , 0.017 , -2.87 , 0
28.26 , 10.0 , 0.017 , -2.87 , 0
28.35 , 10.0 , 0.011 , -2.805 , 0
28.47 , 10.0 , -0.002 , -2.883 , 0
28.56 , 10.0 , -0.002 , -2.883 , 0
28.66 , 10.0 , 0.015 , -2.883 , 0
28.77 , 10.0 , 0.015 , -3.041 , 0
28.87 , 10.0 , 0.015 , -2.778 , 0
28.96 , 10.0 , 0.015 , -2.778 , 0
29.06 , 10.0 , 0.013 , -2.765 , 0
29.17 , 10.0 , 0.011 , -2.726 , 0
29.26 , 10.0 , 0.011 , -2.726 , 0
29.36 , 10.0 , 0.019 , -2.7 , 0
29.46 , 10.0 , 0.021 , -2.818 , 0
29.57 , 10.0 , 0.017 , -2.765 , 0
29.66 , 10.0 , 0.017 , -2.765 , 0
29.76 , 10.0 , 0.0 , -2.792 , 0
29.86 , 10.0 , 0.019 , -2.831 , 0
29.97 , 10.0 , 0.019 , -2.831 , 0
30.06 , 10.0 , 0.009 , -2.936 , 0
30.16 , 10.0 , 0.002 , -2.923 , 0
30.26 , 10.0 , 0.002 , -2.923 , 0
30.37 , 10.0 , -0.002 , -2.726 , 0
30.46 , 10.0 , 0.015 , -2.674 , 0
30.56 , 10.0 , 0.004 , -2.975 , 0
30.66 , 10.0 , 0.004 , -2.975 , 0
30.77 , 10.0 , 0.011 , -2.713 , 0
30.86 , 10.0 , 0.004 , -2.975 , 0
30.96 , 10.0 , 0.004 , -2.975 , 0
31.06 , 10.0 , 0.011 , -2.923 , 0
31.17 , 10.0 , 0.011 , -2.792 , 0
31.26 , 10.0 , 0.017 , -2.792 , 0
31.36 , 10.0 , 0.017 , -2.792 , 0
